age,gender,skinColor,aspectOfHand,imageName,jewelry_preferences
27,male,fair,dorsal right,Hand_0000002.jpg,diamond
27,male,fair,dorsal right,Hand_0000003.jpg,diamond
27,male,fair,dorsal right,Hand_0000004.jpg,diamond
27,male,fair,dorsal right,Hand_0000005.jpg,diamond
27,male,fair,dorsal right,Hand_0000006.jpg,diamond
27,male,fair,dorsal right,Hand_0000007.jpg,diamond
27,male,fair,dorsal right,Hand_0000008.jpg,diamond
27,male,fair,dorsal right,Hand_0000009.jpg,diamond
27,male,fair,dorsal right,Hand_0000010.jpg,diamond
27,male,fair,dorsal right,Hand_0000011.jpg,diamond
27,male,fair,dorsal right,Hand_0000012.jpg,diamond
27,male,fair,dorsal right,Hand_0000013.jpg,diamond
27,male,fair,dorsal right,Hand_0000014.jpg,diamond
27,male,fair,dorsal right,Hand_0000015.jpg,diamond
27,male,fair,dorsal right,Hand_0000016.jpg,diamond
27,male,fair,dorsal right,Hand_0000020.jpg,diamond
27,male,fair,dorsal left,Hand_0000021.jpg,diamond
27,male,fair,dorsal left,Hand_0000022.jpg,diamond
27,male,fair,dorsal left,Hand_0000023.jpg,diamond
27,male,fair,dorsal left,Hand_0000024.jpg,diamond
27,male,fair,dorsal left,Hand_0000025.jpg,diamond
27,male,fair,dorsal left,Hand_0000026.jpg,diamond
27,male,fair,dorsal left,Hand_0000027.jpg,diamond
27,male,fair,dorsal left,Hand_0000028.jpg,diamond
27,male,fair,dorsal left,Hand_0000029.jpg,diamond
27,male,fair,dorsal left,Hand_0000030.jpg,diamond
27,male,fair,dorsal left,Hand_0000031.jpg,diamond
27,male,fair,dorsal left,Hand_0000032.jpg,diamond
27,male,fair,dorsal left,Hand_0000033.jpg,diamond
27,male,fair,dorsal left,Hand_0000034.jpg,diamond
27,male,fair,palmar left,Hand_0000038.jpg,diamond
27,male,fair,palmar left,Hand_0000039.jpg,diamond
27,male,fair,palmar left,Hand_0000040.jpg,diamond
27,male,fair,palmar left,Hand_0000041.jpg,diamond
27,male,fair,palmar left,Hand_0000042.jpg,diamond
27,male,fair,palmar left,Hand_0000043.jpg,diamond
27,male,fair,palmar left,Hand_0000044.jpg,diamond
27,male,fair,palmar left,Hand_0000045.jpg,diamond
27,male,fair,palmar left,Hand_0000046.jpg,diamond
27,male,fair,palmar left,Hand_0000047.jpg,diamond
27,male,fair,palmar left,Hand_0000048.jpg,diamond
27,male,fair,palmar left,Hand_0000049.jpg,diamond
27,male,fair,palmar left,Hand_0000050.jpg,diamond
27,male,fair,palmar left,Hand_0000051.jpg,diamond
27,male,fair,palmar left,Hand_0000052.jpg,diamond
27,male,fair,palmar left,Hand_0000053.jpg,diamond
27,male,fair,palmar left,Hand_0000054.jpg,diamond
27,male,fair,palmar left,Hand_0000055.jpg,diamond
27,male,fair,palmar left,Hand_0000056.jpg,diamond
27,male,fair,palmar left,Hand_0000057.jpg,diamond
27,male,fair,palmar left,Hand_0000058.jpg,diamond
27,male,fair,palmar left,Hand_0000059.jpg,diamond
27,male,fair,palmar left,Hand_0000060.jpg,diamond
27,male,fair,palmar left,Hand_0000061.jpg,diamond
27,male,fair,palmar left,Hand_0000062.jpg,diamond
27,male,fair,palmar left,Hand_0000063.jpg,diamond
27,male,fair,palmar left,Hand_0000064.jpg,diamond
27,male,fair,palmar left,Hand_0000065.jpg,diamond
27,male,fair,palmar left,Hand_0000066.jpg,diamond
27,male,fair,palmar left,Hand_0000067.jpg,diamond
27,male,fair,palmar left,Hand_0000068.jpg,diamond
